question,answer
سؤال 13--, چنانچه پاسخ سؤال پيش اين باشد كه از بين قانون و فتواي معارض با هم حتما بايد به فتواي مرجع تقليد عمل نمود، بنابراين مرقوم بفرماييد كه فلسفه ولايت فقيه و تشكيل حكومت اسلامي و فلسفه تشكيل قوّه مقننه و وضعقانون چيست؟ و اگر پاسخ سؤال اين است كه بايد بر طبق قانون عمل كرد بنابراين فلسفه تقليد وفلسفه وجودي مراجع تقليد چيست؟ و چه آثاري بر آن مترتّب است و صدور فتوا از ناحيه آنان در ابواب مختلف فقهي كه قانون نيز در مورد آنها وجود دارد چه فايده اي خواهد داشت؟جواب:
سؤال 14--, مستدعي است تعيين فرماييد احتياطات حضرت عالي را به كدام يك از مراجع عظام مراجعه نماييم؟جواب:
سؤال 15--, شخصي ده سال بدون تقليد عبادت مي كند، عبادتش چگونه است؟جواب:
سؤال 16--, آيا انتشار رساله توسط مجتهدي به معناي اين است كه او خود را از ديگران اعلم مي داند؟جواب:
سؤال 17--, در رساله هاي عمليّه نوشته شده است كه از بايد مجتهد اعلم تقليد كرد، از آن جايي كه تشخيص و تعيين فرد اعلم در ميان مجتهدين براي اهل علم و خبره مشكل و براي عوام محال و ممتنع است، آيا مي توان در مسائل مورد اختلاف به جاي تقليد از يك شخص معيّن، رأي اكثريت را ملاك عمل قرار داد؟جواب:
سؤال 18--, كساني كه مجتهد نيستند واجب است در مسائل شرعي و احكام غير ضروري دين از دستورات مجتهد جامع الشرايط تقليد كنند، آيا در مسائل سياسي وحكومتي نيز چنين است مثلا در نظامجمهوري اسلامي ايران آيا اطاعت از قوانين و مقرّرات دولت كه به تصويب مجلس شوراي اسلامي و تأييد شوراي نگهبان رسيده، واجب شرعي است؟جواب:
سؤال 19--, شخصي پس از فوت مرجع تقليدش از مجتهدي تقليد نموده، ولي قبل از عمل به فتواي آن مجتهد مجدداً از مرجع قبلي كه فوت نموده تقليد كرده است، آيا عدول با توصيف فوق الذكر جايز مي باشد؟ با در نظر گرفتن اينكه در بعضي از مسائل از جمله در مسائل تقليد، مقلّد همين مجتهد زنده مي باشد.جواب:
سؤال 20--, اگر بر انسان طبق فتواي مرجع قبلي خود، احكامي از قبيل خمس و غيره واجب و يا بعضي از اعمالش باطل و يا مشكوك به نظر برسد، ولي طبق فتواي مرجع فعلي اعمالش صحيح و يا خمس و غيره واجب نباشد، لطفاً مرقوم فرماييد آيا مي تواند طبق فتواي مرجع بعدي خود عمل و در نتيجه اعمالش صحيح و خمس و امثال آن را پرداخت ننمايد؟جواب:
سؤال 21--, آيا از مجتهدي كه در مسائل روز جامعه و سياست داخلي و خارجي كشور آگاه نيست ولي داراي شرايطي كه در رساله عمليّه ذكر شده مي باشد، تقليد جايز است؟جواب:
سؤال 22--, آيا حضرت عالي حكم حاكم را نافذ مي دانيد، بنابراين اگر مرجعيحكم كرد آيا برهمه حتّي مراجع ديگر واجب است عمل كنند؟جواب:
سؤال 23--, آيا مرجع بايد مجتهد مطلق باشد يا متجزّي هم مي تواند باشد؟جواب:
سؤال 24--, آيا زن مي تواند علوم اسلامي را تحصيل نمايد و به مقام اجتهاد برسد؟جواب:
سؤال 25--, اگر زني به مقام اجتهاد برسد آيا بر او نيز تقليد حرام است؟جواب:
سؤال 26--, آيا رجوع از مرجع مساوي به مساوي را جايز مي دانيد؟جواب:
سؤال 27--, شخصي از مرجعي تقليد مي كرده است، پس از فوت او با اجازه مرجع دوّم زنده به تقليد مرجع اوّل باقي مانده است، سپس مرجع دوّم از دنيا رفته است و اكنون از مرجع سوّم كه زنده است تقليد مي كند، اكنون آيا با اجازه مرجع زنده بايد بر تقليد از مرجع اوّل باقي بماند يا مرجع دوّم؟جواب:
سؤال 28--, تقليد بر مجتهد حرام است آيا اين مسأله شامل فضلا و طلّابي كه در مسائل اندكي مجتهد هستند مي شود؟جواب:
سؤال 29--, خواهشمندم بفرماييد چرا تقليد واجب است؟جواب:
سؤال 30--, بنده از حضرت آيت اللّه العظمي اراكي (رضوان اللّه تعالي عليه)تقليد مي كردم و بعد از فوت ايشان به فتوايشما بر تقليد ايشان باقي ماندم، آيا بايد حتماً مسائل جديدي كه پيش مي آيد را از شما سؤال كنم يا مي توانم به مراجع ديگر رجوع كنم و اگر به كس ديگري رجوع كردم در حالي كه استفتائاتي از جنابعالي نموده بودم و به بعضي از آنها عمل كردم مي توانم همان سؤالات را از او سؤال كنم؟جواب:
سؤال 31--, با توجّه به اينكه درصد نمك آب خليج فارس و درياي عمان و بسياري از درياهاي ديگر بالاست به طوري كه در هر متر مكعب آن 200/ 3 كيلوگرم نمك وجود دارد، آيا اين آب حكم آب مضاف را دارد؟جواب:
سؤال 32--, در يكي از روستاهاي خوزستان سه چاه آب قليل در كنار هم است، در يكي از چاهها سگ ولوغ كرده و در دوّمي چيز نجس ريخته شده است. اما سوّمي پاك است، ولي ما نمي دانيم كه كدام يك از آن، چاه ها پاك است در اين صورت كه شبهه، محصوره است، آيا اجتناب از همه آنها لازم است؟جواب:
سؤال 33--, تصفيه آبهاي زايد و فاضلاب و غيره به آب زلال در بعضي از كارخانه ها و مراكز انجام مي گيرد، آيا اين آبها پاك هستند؟جواب:
سؤال 34--, آيا لباس به وسيله ماشين لباسشويياتوماتيكي كه خود چند بار لباس را مي شويد و آب آن را مي كشد پاك مي شود؟جواب:
سؤال 35--, تغذيه كردن حيوان به نجاست (غير از مدفوع) مانند استفاده از خون براي تغذيه طيور چه صورتي دارد؟جواب:
سؤال 36--, با توجّه به اينكه امروزه بسياري از لوازم آرايش مورد مصرف بانوان مسلمان از جفت جنين تهيه مي گردد استفاده و مصرف آن چه حكمي دارد در ضمن بفرماييد جفت نجس است يا متنجّس؟جواب:
سؤال 37--, آيا دست نجس همراه آب كشيدن گوشت و دنبه پاك مي شود؟جواب:
سؤال 38--, اگر گوسفندي از شير سگ بخورد آيا گوشت آن نجس و حرام است؟جواب:
سؤال 40--, در احكام داريم كه اگر سگ به ظرفي زبان بزند بايد آن را خاك مال كرد، حال با وجود موادّي مانند الكل، مايعات ظرفشويي و غيره آيا خاك مال كردن لازم است؟جواب:
سؤال 41--, آيا اهل كتاب نجس هستند؟جواب:
سؤال 42--, نظر شما در مورد طهارت اهل كتاب چيست؟ در حال اضطرار چطور؟جواب:
سؤال 43--, آيا مجوس از اهل كتاب هستند؟جواب:
سؤال 44--, وحدت وجود يعني چه و معتقد به آن چه حكمي دارد؟جواب:
سؤال 45--, لطفاً توضيح روشني در مورد وحدت وجود بيان فرماييد؟جواب:
سؤال 46--, بسياري از بزرگان به وحدت وجود معتقد هستند، آيا طبق اين مسأله احتياطاً بايد از اين بزرگواران نيز اجتناب شود؟جواب:
سؤال 47--, خواهشمند است سندي دالّ بر اينكه اين نظر و عقيده پوچ و باطل است بيان نماييد؟جواب:
سؤال 48--, بنا به نقل بعضي از دانشجويان رشته شيمي، مواد تشكيل دهنده الكل صنعتي و طبّي يكي است و فقط به لحاظ غير قابل شرب شدن به الكل صنعتي مادّه اي رنگي اضافه مي گردد، با اين فرض حكم اين دو نوع الكل را بيان فرماييد؟جواب:
سؤال 49--, آيا هر مادّه اي كه در آنالكل باشد حرام است؟جواب:
سؤال 50--, حكم الكل را از نظر طهارت و نجاست بيان فرماييد؟جواب:
سؤال 51--, مصرف غذاها يا مايعاتي كه به طور طبيعي مقدار بسيار كمي از آن را الكل تشكيل مي دهد مانند سركه و يا آبجو بدون الكل چه حكمي دارد؟جواب:
سؤال 52--, آيا در مسأله نجاست يقين لازم است يا ظنّ و گمان كافي است؟جواب:
سؤال 53--, گوشتهايي كه از كشورهاي غير مسلمان وارد مي شود چه حكمي دارد؟جواب:
سؤال 54--, آيا تماس دست مرطوب با پول اسكناس يا سكّه كه در بين مردم ردّ و بدل مي شود موجب نجاست دست مي شود؟جواب:
سؤال 55--, اگر موش زنده وارد غذا شود زنده بيرون بيايد آيا آن غذا پاك است؟ جواب:
سؤال 56--, نمي دانيم كجاي فرش 12 متري نجس است، آيا اين شبهه محصوره است يا غير محصوره؟ آيا مي توان روي آن نماز خواند؟جواب:
سؤال 57--,حكم ظرفي كه خوك از آن چيزي خورده است و همچنين ظرفي كه موش صحرايي در آن افتاده چيست؟جواب:
سؤال 58--, اگر سگي با لباس شخصي تماس پيدا كند و او با همان لباس وارد مسجد شود، آيا تطهير مسجد واجب است؟جواب:
سؤال 59--, ژلاتين مادّه اي است كه پس از تأثير اسيد و برخي از موادّ شيميايي و طي روند خاصّي از استخوان و پوست گاو يا خوك استخراج مي گردد. از نظر نحوه استخراج مي توان استخوان و پوست را به پارچه اي بافته شده از انواع الياف تشبيه نمود كه به طريقي الياف نوع پشم جدا مي گردد اين ماده در صنايع غذايي، دارويي، فيلم سازي و چسب سازي مورد مصرف دارد و در حال حاضر كشورهاي غربي، سازنده اين محصول بوده و بازار مصرف دنيا را پوشش مي دهند:الف) با توجّه به نحوه استخراج ژلاتين از پوست و استخوان آيا مي توان آن را نوعي استحاله دانست؟ب) از آن جايي كه نياز كشور در حال حاضر از كشورهاي خارجي و عمدتاً غربي تأمين مي گردد و با توجّه به نوع مادّه اوّليه، مصرف آن چه حكمي دارد؟جواب:
سؤال 60--, چگونه مي توان خمير نجس را تطهير كرد؟جواب:
سؤال 61--, اگر شخصي در وضو سه بار صورت و دستها را بشويد، وضو و عباداتش چه حكمي دارد؟جواب:
سؤال 62--, آيا مسح كشيدن سر فقط از جلوي سر است يا مي توان از عقب سر يا طرفين آن مسح كشيد؟جواب:
سؤال 63--, اگر انسان به قصد وضو آب زيادي بر دست راست خود بريزد، آيا مسح پا با اين آب جايز است؟جواب:
سؤال 64--, كسي كه معتقد است بايد دست راست در وضو دو بار شسته شود، آيا وضويش صحيح است؟جواب:
سؤال 65--, اگر شخص ديگري انسان را وضو يا غسل دهد صحيح است؟جواب:
سؤال 66--, خالكوبي چه حكمي دارد و آيا براي غسل و وضو مشكلي ايجاد مي كند؟جواب:
سؤال 67--, اين جانب مبتلا به سينوزيت هستم و استعمال آب برايم ضرر دارد، البتّه يك بار هم عمل جرّاحي كردم ولي مؤثّر واقع نشد كه هيچ، بلكه مضرّ هم واقع شده است. هر وقت كه براي وضو آب استعمال مي كنم سر دردم بيشتر مي شود و گاه خون از مجراي بيني ام ترشح مي كند و فعلا هم با تيمم نمازهايم را ادا مي كنم، با توجّه به مطالب بالا آيا بايد تيمّم كنم و يا وضو بگيرم (ضمناً بعضي معتقدند وضو با آب گرم ضرري ندارد)؟جواب:
سؤال 68--, شخصي است كه ادرار يا مدفوع بي اختيار از او خارج مي شود و با كيسه از سرايت آن به ساير بدن جلوگيري مي كند، حال قبل از نماز اگر كيسه آلوده باشد آيا تعويض آن واجب است؟ اگر كيسه پاك باشد و در حال نماز مدفوع و يا بول بدون اختيار خارج گردد، تكليف چيست؟جواب:
سؤال 69--, آيا موارد زير براي وضو مانع به حساب مي آيد و بايد قبل از وضو آنها را برطرف كرد:الف) اثر نفتي كه بعد از شستن با آب به دستها باقي مانده و به طور كامل برطرف نگرديده است.ب) رنگي كه بر اثر ماليدن پوست بعضي از خوراكيها به دست مي ماند مثل پوست گردو كه معمولا با گذشت زمان برطرف مي گردد.ج) اثر گچ و سيمان.د) اگر با خودكار يا خودنويس و مانند اينها به اعضاي وضو خط كشيده شود.ه-) دستها آلوده به مانعي است كه نجس نيست ولي دير (مثلا ظرف ده روز) برطرف مي گردد.جواب:
سؤال 70--, اگر قبل از وضو از نظر وجود مانع وارسي شود ولي بعد از نماز ببيند كه مانعي وجود داشته، آيا بايد مانع را برطرف كرده و دوباره نماز بخواند؟جواب:
سؤال 71--, آيا افراد وسواسي بايد به ظنّ و گمان خود عمل كنند (اگر ظنّ و گمان قوي باشد چطور)؟جواب:
سؤال 72--, اگر بر گردن شخصي هيچ غسلي نباشد، آيا مي تواند به قصد قربت غسل كند و با آن نماز بخواند؟جواب:
سؤال 73--, كسي كه بي اختيار از او مني خارج مي شود چه وظيفه اي دارد؟جواب:
سؤال 74--, آيا ريختن آب زياد براي غسل ضرر دارد و آيا كسي كه عرق زيادي كرده است قبل از شستن عرقهايش غسل او صحيح است؟جواب:
سؤال 75--, اگر در حين غسل حدث اصغر خارج شود غسل چه حكمي دارد؟جواب:
سؤال 76--, جنبي كه مي داند اگر غسل كند به درس نمي رسد آيا جايز است در مسجد با تيمّم توقف كند؟جواب:
سؤال 77--, اگر شخص جنبي به حمّام برود و فراموش كند كه غسل را بجا آورد، آيا مي تواند وارد مسجد شود؟جواب:
سؤال 78--, در جنب شدن زنها توسط خروج مني، آيا همان شرايطي كه براي مردها گفته شده لازم است؟جواب:
سؤال 79--, آيا زن پس از نزديكي شوهر با او و قبل از غسل، بايد صبر كند تا مني شوهر از او خارج شود و اگر فوراً غسل كرد و آب يا رطوبت مشكوكي خارج شد، تكليفش چيست؟جواب:
سؤال 80--, چرا با غسل جنابت بدون وضو مي شود نماز خواند ولي با غسلهاي ديگر نمي شود و بايد وضو گرفت؟جواب:
سؤال 81--, در رساله حضرت امام (قدس سرّه الشريف) مطالعه كردم كه اگر مني از انسان خارج شود با اختيار يا بدون اختيار با شهوت يا بدون شهوت انسان جنب مي شود. در حال حاضر من سرباز هستم و دستشوييهاي اين پادگان كه ما در آن مستقر هستيم بسيار تاريك است و مدّتي است كه (بعضي مواقع) بي اختيار بعد از بول يا به هنگام بول از من مني دفع مي شود (در اين مورد مطمئن هستم) طبق فتواي حضرت امام (رضوان اللّه تعالي عليه) من جنب مي شوم. مشكل من اين استكه در شب كه نمي شود دقيقا ادرار را مشاهده كرد، اگر شك كنم كه از من مني دفع شده يا نه بايد غسل نمايم يا خير، و در ضمن اينجا حمّامها آبگرمكن ندارد (چون فقط در شب مي توانيم حمّام برويم) و حالا هم زمستان است و آب در شب سرد است و چند بار كه حمّام رفتم كليه درد گرفته ام و حمّامرفتن هم قدري زحمت دارد لطف بفرماييد و بنويسيد كه چه كار بايد بكنم و آيا در موارد ذكر شده جنب هستم؟جواب:
سؤال 82--, اين جانب مبتلا به بيماري وسواس هستم و متأسّفانه بسيار شديد و غير قابل تحمّل است مثلا در مورد تطهير و غسل وسواس من خيلي شديد است به گونه اي كه گاهي اوقات وقتي شب به حمّام مي روم نزديك طلوع آفتاب موفق به تطهير مي شوم و از حمّام بيرون مي آيم. باور كنيد در طول اين چند سال به اندازه بيست سال آب مصرف كرده ام، براي درمان به نزد بعضي از علماي شهرمان و يكي از مراجع قم رفتم و اذكاري را به من گفتند ولي مؤثّر واقع نشد. به خدمت حضرت علي بن موسي الرّضا (عليه السلام) در مشهد رفتم باچه گرفتاريهايي كه در سفر و هنگام تشرف داشتم و دعا و تضرّع بسيار كردم ولي متأسّفانه شفا نيافتم. اين بيماري نزديك است مرا از پاي درآورد نه تنها خود كه خانواده را نيز نگران و در زحمت انداخته ام بلكهباعث شده است عبادتهايم را نتوانم انجام دهم و براي اين جهت ماه رمضان را سفر مي كنم تا مشكل روزه گرفتن نداشته باشم اگر چه در سفر هم هيچ چيز نمي خورم. لطفاً مرا راهنمايي كنيد تا از اين وضع غمبار نجات يابم و از زخم زبانهاي اطرافيان آسوده گردم؟جواب:
سؤال 83--, آيا در مورد قضاي غسل جمعه دليلي داريم؟جواب:
سؤال 84--, آيا داخل شدن زن حائض به رواقهاي اطراف ضريح مطهّر امام رضا (عليه السلام) اشكال دارد گرچه قبر را ببيند و به ضريح نزديك باشد؟جواب:
سؤال 85--, تكليف زني كه چندين ماه است كه لكه هاي پي درپي مي بيند چيست؟ لازم به ذكر است كه اطبّا احتمال مي دهند كه اين خونها مربوط به زخمهاي دروني باشد.جواب:
سؤال 86--, آيا نزديكي با حائض بعد از قطع خون و قبل از غسل جايز است؟جواب:
سؤال 87--, هرگاه زن جنب بوده و عادت ماهيانه او فرارسيد يا در حال عادت ماهيانه جنب شد، آيا مي تواند در همان حال غسل جنابت كند؟جواب:
سؤال 88--, در مسأله شماره 426 مرقوم فرموده ايد (حيض خوني است كه در هر ماه چند روزي از رحم زن خارج مي شود و به هنگام انعقاد نطفه غذاي فرزند است) انطباق اين مسأله با توجّه به نكات مشروحه ذيل با موازين علمي مبهم است لذا خواهشمند است توضيحات بيشتري مرقوم فرماييد: يك دوره ماهيانه در يك زن بالغ قبل از يائسگي معمولا داراي مراحل ذيل مي باشد:الف) مرحله افزايش حجم رحم در اين مرحله رحم زن در اثر ترشح هورمون استروژن ضخيم مي شود، ضخيم شدن ديواره رحم به منظور آمادگي رحم براي پذيرش جنين مي باشد.ب) در صورتي كه آبستني صورت پذيرد و جنين تشكيل شود، جنين موجود از لوله هاي رحمي گذشته وارد رحم مي شود و در اين لايه ضخيم و پرخون لانه گزيني مي كند، در اينجا جنين تا مدّتي از مواد غذايي كه به وسيله خون حمل مي گردد تغذيه مي كند و رشد مي نمايد در واقع جنين از خود خون به عنوان غذا تغذيه نمي نمايد بلكه از اكسيژن و مواد غذايي كه به وسيله خون حمل مي شود استفاده مي كند.ج) تقريباً پس از سه هفته از لانه گزيني، جفت تشكيل مي شود در اينجا وظيفه جفت، گرفتن مواد غذايي و اكسيژن از بافت ضخيم شده رحم و انتقال آن به جنين از طريق بند ناف مي باشد همين طور گاز كربنيك حاصل از فعّاليّتهاي حياتي جنين را به خون مادر انتقال مي دهد و وظيفه ديگر جفت ترشح هورمون مادري يا پرژسترون مي باشد كه از عادت ماهيانه جلوگيري مي كند.د) در صورتي كه آبستني اتفاق نيفتد ديواره ضخيم و پرخون شدهرحم تخريب و شروع به ريزش مي نمايد كه به نام عادت ماهيانه معروف مي باشد. پس از پايانخونريزي، ديواره رحم مجدّداً خود را براي پذيرش جنين بعدي آماده مي كند يعني شروع به ضخيم شدن و پرخون شدن مي نمايد و لذا وقتي يك زن، آبستن مي شود معمولا به دليل ترشح هورمونهاي مخصوص كه ذكر آن گذشت اصولا قاعدگي اتفاق نمي افتد (نه اينكه جنين آن خون را مي خورد) يعني اصولا خونريزي وجود ندارد كه جنين آن را بخورد.ه-) كليه مراحل فوق به وسيله ترشح هورمونهاي مختلف كنترل مي شوند و اگر اين هورمونها را توسط تزريق يا خوراكي به يك زن بدهند قاعده نمي شود پس در اينجا خوردن خون را در چگونه مي توان به عنوان غذاي بچه محسوب داشت؟جواب:
سؤال 89--, بعد از غسل سدر و كافور و قبل از غسل با آب خالص، قطراتي كه از بدن ميّت ترشح مي كند پاك است يا نجس؟جواب:
سؤال 90--, اگر سهواً به ميّت يكي از سه غسل كه دادنآن واجب است داده نشود حكمش چيست؟جواب:
سؤال 91--, شخصي دار فاني را وداع كرده و معلوم نيست مرد است يا زن، وضعيّت نماز اين فرد و همچنين غسلش چگونه است؟جواب:
سؤال 92--, آيا وجود حايل ميان تابوت و نمازگزار اشكال دارد؟جواب:
سؤال 93--, زن مسلماني كه بچه مسلمان هفت ماهه اي در شكمش بوده فوت كرده است، بعضي مي گويند بايد آينه اي در سمت پشت مادر قرار دهند تا انعكاس صورتبچه به طرف قبله باشد آيا اين كار لازم است؟جواب:
سؤال 94--, بعضي از مسلمانها در لبنان وصيّت مي كنند كه در لباس عروسي دفن شوند آيا اين وصيّت جايز است؟ و بر فرض جواز آيا عمل به اين وصيّت بر وصيّ لازم است؟جواب:
سؤال 95--, در يك گورستان كه صد سال از دفن اموات در آن مي گذرد آيا مي توانيم دوباره مرده ها را در آن دفن كنيم؟جواب:
سؤال 96--, آيا انتقال جنازه به گونه اي كه نبش قبر نشود جايز است؟جواب:
سؤال 97--, نبش قبر تا چند وقت پس از دفن حرام است؟جواب:
سؤال 98--, دختر 15 ساله اي در حادثه تصادف ماشين از دنيا رفت و او را به خاك سپرديم اكنون مدتي است خويشاوندان و آشنايان و مخصوصاً خواهر بزرگترش مرتباً او را در خواب مي بيند كه اصرار مي كند بيايند او را ببرند چون او زنده است و آن قدر اين خوابها تكرار شده است كه وضع روحي خانواده آن مرحومه را به مخاطره افكنده و سلامتي آنها مختل شده است آيا اجازه مي فرماييد كه نبشقبر نموده و اين امر را معلوم سازيم؟جواب:
سؤال 99--, در كنار قبر مؤمني توالت احداث كرده اند و اين كار باعث شده است كه حتّي امكان خواندن يك سوره قرآن در آنجا نباشد مراجعه به مسئولين براي انتقال توالتها به مكان ديگر مؤثّر واقع نشد آيا اجازه مي دهيد نبش قبر كنيم و ميت را به جاي ديگر منتقل كنيم؟جواب:
سؤال 100--, آنچه در كتب فقهي حتّي در رساله هاي عمليّه فقها از عروۀ الوثقي تا تحرير الوسيله جستجو شد حضرات نمازي به عنوان نماز غريق بيان نفرموده اند حال اگر كسي در دريا يا رودخانه غرق شد و جسدش هم پيدا نشد چه بايد كرد آيا نماز دارد يا ساقط است؟ بر فرض اينكه نماز داشته باشد چگونه بايد ادا كرد؟جواب:
سؤال 101--, اگر شخصي به جاي غسل جنابت تيمّم بدل از آن را بجا آورد آيا مي تواند وارد مسجد شود يا كلمات قرآن را مس نمايد؟جواب:
سؤال 102--, كسي كه همواره موقع ادرار اجزاي مني هم از او بيرون مي آيد و اميد خوب شدن نيز ندارد آيا مي تواند تيمّم كند و اعمالش را انجام دهد؟ چون فرض بر اين است كه غسل جنابت به صورت هميشگي براي او زيان غير قابل جبران جسمي دارد.جواب:
سؤال 103--, كسي كه مبتلا به مرضي باشد كه نتواند از خروج باد جلوگيري كند و وضو گرفتن هم برايش ضرر دارد آيا بايد در محلي (مثلا روي سنگ) نماز بخواند تا بتواند بعد از اينكه چيزي از او خارج شد تيمّم كند و نماز را ادامه دهد؟جواب:
سؤال 104--, تأخير نماز در شبهاي مهتابي به نظر شما چگونه است؟جواب:
سؤال 105--, چرا شيعيان نمازهاي ظهر و عصر و نيز مغرب و عشا را با هم مي خوانند ولي ساير مسلمين اين نمازها را از هم جدا و در پنج نوبت مي خوانند؟جواب:
سؤال 106--, آيا نماز مستحبي كه كيفيّت خاصّي دارد، مانند نماز وحشت را مي توان به جاي نافله يوميه حساب كرد؟جواب:
سؤال 107--, اينكه گفته شده نماز شب اگر نشسته به جا آورده شود احتياطاً به جاي يك ركعت، دو ركعت خوانده شود اين احتياط لازم است يا مستحب؟جواب:
سؤال 108--, نوافلي كه در سفر منع شده، انجام دادن آن به عنوان كم بودن ثواب است يا بدعت؟ چه نوع بدعتي؟جواب:
سؤال 109--, مسلمانان مقيم لوس آنجلس كه در غرب آمريكا زندگي مي كنند به كدام جهت بايد نماز بگذارند كه نمازشان صحيح و روبه قبله انجام شده باشد البتّه قبله نماهاي موجود مثل قبله نماي رزم آرا و غيره قبله نيويورك را كه در شرق آمريكاست مشخص مي كند ولي قبله لوس آنجلس را كه شش ساعت با هواپيما از نيويورك فاصله دارد معين نكرده و مردم دقيقاً تكليف خود را نمي دانند و به استناد (فَأَيْنَمٰا تُوَلُّوا فَثَمَّ وَجْهُ اللّٰهِ) «1» به يك جهتي نماز مي خوانند لطفاً وظيفه آنها را معين كنيد.جواب:
سؤال 110--, اگر شخصي به غير جهت قبله به نماز ايستاد ما نيز مي دانيم كه جهت قبله بر عكس است آيا وظيفه داريم به وي اعلام كنيم؟ امر به معروف و نهي از منكر در اينجا لازم است؟جواب:
سؤال 111--, برادران مجروح و يا معلولي كه نمي توانند در هيچ صورت رو به قبله نماز بخوانند آيا جهت هاي غير قبله براي آنان يكسان است؟جواب:
سؤال 112--, آيا صحيح است كه مي گويند وقتي كه حضرت حجّت (عج) ظهور مي كند قبله را به مزارامام حسين (عليه السلام) تغيير مي دهد؟جواب:
سؤال 113--, هنگامي كه كشتي يا قطار در حال حركت مي باشد و اشخاص اقامه نماز مي كنند در صورتي كه از قبله منحرف شوند وظيفه آنها چيست؟جواب:
سؤال 114--, اگر در حال نماز، دهان نمازگزار خون بيايد آيا نمازش باطل مي شود؟جواب:
سؤال 115--, پوشيدن مانتو چه حكمي دارد؟ آيا جزء لباسهاي زينتي است؟جواب:
سؤال 116--, نماز در لباسي كه در نجاست آن شك داريم چه حكمي دارد؟جواب:
سؤال 117--, حكم استفاده از طلاي زرد، سفيد و پلاتين را براي مردان بيان فرماييد.جواب:
سؤال 118--, آياپلاتين همان طلاي سفيد است؟ و در صورتي كه غير آن است حكم آن چيست؟جواب:
سؤال 119--, آيا كراهت لباس سياه براي نماز شامل چادر مشكي خواهران وهمچنين عباي سياه مي شود؟جواب:
سؤال 120--, چنانچه زن هنگام نماز يا پس از آن دريابد برخي از اندامش كه پوشيدن آن لازم بوده است عريان مانده، تكليفش چيست؟جواب:
سؤال 121--, استفاده از زينت آلات طلا اعمّ از انگشتر و گردنبند براي مردان چه صورتي دارد؟جواب:
سؤال 122--, آيا نگاه كردن به وجه و كفّين زن نامحرم بدون قصد لذت اشكال دارد؟ و منظور از قصد ريبه و لذّت چيست؟جواب:
سؤال 123--, لباس شهرت چيست؟ و استفاده از آن چه صورتي دارد؟جواب:
سؤال 124--, اگر شي ء مسروقه در جيب لباس نمازگزار باشد، آيا نماز او باطل است؟سؤال 125- بعضي از مجروحين، زخمهاي بدنشان به گونه اياست كه در مدّت شبانه روز خون مي آيد اين افراد براي نماز چه بايد بكنند؟جواب:
سؤال 126--, فرد مريضي كه بنا به عللي نتواند بعد از بول خود را با آب بشويد اگر با پارچه اي خود را تميز نمايد مي تواند نماز بخواند؟جواب:
سؤال 127--, كسي كه ادرار و مدفوع او غير ارادي است با توجّه به اينكه هر لحظه امكان دارد از او ادرار يا مدفوع خارج گردد و اطراف عورتين و لباس او اكثر اوقات نجس است حتي اگر عوض كند مجدّداً نجس مي شود چگونه نماز بخواند؟جواب:
